rank,Youtuber,subscribers,video views,video count,category,started
326,Foot Epic,"1,440,000","488,476,859",177,Sports,2016
327,Younes Jones,"1,440,000","522,026,828",354,Comedy,2017
328,Mamiseelen,"1,430,000","1,196,809,543","1,820",Howto & Style,2012
329,Mert Abi,"1,430,000","344,596,647",250,Entertainment,2011
330,ZDFheute Nachrichten,"1,430,000","1,232,947,546","7,054",News & Politics,2019
331,World Wide Wohnzimmer,"1,420,000","622,847,236","2,170",Entertainment,2010
332,Hacks von Panda,"1,420,000","381,409,975",523,Howto & Style,2018
333,DOJU 도주,"1,420,000","269,160,376",99,Entertainment,2024
334,Alle Rezepte,"1,420,000","340,579,339",633,People & Blogs,2020
335,WannaBe,"1,420,000","618,911,601","1,422",Gaming,2018
336,Auf Streife,"1,410,000","1,485,885,760","6,329",Entertainment,2017
337,Alexandre Leroy,"1,410,000","308,727,700",988,Entertainment,2023
338,Bonnytrash,"1,410,000","31,540,017",64,People & Blogs,2015
339,FUNK 4.0,"1,410,000","171,881,654","1,920",People & Blogs,2017
340,AllesAva,"1,400,000","960,474,825","1,320",Entertainment,2015
341,Karina2you,"1,390,000","1,271,704,424","1,273",Comedy,2020
342,Johnny Hand,"1,390,000","582,818,807","1,871",Entertainment,2016
343,flyinguwe,"1,390,000","57,219,623",350,Sports,2007
344,Brownies,"1,390,000","327,683,849",938,Entertainment,2014
345,ClashGames,"1,380,000","642,709,327","3,585",Gaming,2015
346,SparkofPhoenix,"1,380,000","672,110,666","8,864",Gaming,2010
347,Felix Blume,"1,380,000","342,179,987",224,Entertainment,2013
348,Caillou Deutsch - WildBrain,"1,380,000","934,825,296","2,407",Film & Animation,2016
349,JuliensBlogBattle,"1,380,000","860,917,560",926,Entertainment,2012
350,LeKoopa,"1,370,000","922,391,168","1,696",Gaming,2012
351,Song des Tages,"1,370,000","1,283,044,748","2,253",Entertainment,2010
352,Katja Krasavice,"1,370,000","62,231",2,Entertainment,2014
353,vipmagazin Kino,"1,360,000","1,531,784,371","10,109",Film & Animation,2007
354,Mexify Games,"1,360,000","320,165,667",699,Gaming,2018
355,IDzock,"1,360,000","746,849,284","2,713",Gaming,2013
356,Bigtime - Free Movies,"1,360,000","170,707,302",650,Film & Animation,2016
357,LostHistorie,"1,350,000","385,681,984","1,983",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
358,LauraJoelle,"1,350,000","206,482,325",423,Howto & Style,2011
359,Harin,"1,350,000","887,177,460",881,Comedy,2014
360,Gita Savitri Devi,"1,350,000","130,301,101",543,People & Blogs,2009
361,NDR Doku,"1,350,000","698,389,036","1,648",News & Politics,2005
362,Promiflash,"1,350,000","104,451,918","6,625",Entertainment,2010
363,JUcktmichnicht,"1,340,000","540,995,912",771,People & Blogs,2020
364,Kenhub - Learn Human Anatomy,"1,340,000","128,618,364",788,Education,2011
365,Mercedes-Benz & Maybach Fans,"1,330,000","421,261,895",453,People & Blogs,2017
366,Natallia & Habib: The MixMatch Family,"1,330,000","633,369,069","1,505",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
367,Jessie Bluegrey,"1,330,000","1,890,398,050",713,Film & Animation,2020
368,Persian Music Group,"1,320,000","840,353,824","2,738",Music,2018
369,Sirloin,"1,320,000","1,112,215,835","8,853",Gaming,2016
370,#Mentale Zuflucht,"1,310,000","894,049,337","1,545",Entertainment,2016
371,KamuiCosplay,"1,300,000","258,755,382",444,Education,2006
372,TUBERIDES,"1,300,000","1,210,263,833","4,905",Entertainment,2009
373,SPACE FROGS,"1,300,000","873,438,270","1,353",People & Blogs,2011
374,Niki Nihachu,"1,300,000","37,404,884",64,Gaming,2020
375,proownez,"1,290,000","284,100,262","1,549",Gaming,2012
376,فايز كنفش fayez kanfash,"1,290,000","97,260,561",87,People & Blogs,2018
377,How2Shirli,"1,290,000","1,764,157,091","1,118",People & Blogs,2021
378,TalkToHand,"1,290,000","235,057,114",542,Gaming,2015
379,SMOL German,"1,280,000","990,478,754","2,669",Howto & Style,2023
380,Lomby Shorts,"1,280,000","500,045,593",487,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
381,AlpaySanti,"1,280,000","972,278,877","1,105",People & Blogs,2020
382,SurvivalMattin,"1,280,000","229,777,601",371,Entertainment,2012
383,HandOfUncut,"1,280,000","630,230,742","2,125",Gaming,2015
384,Till Lindemann,"1,270,000","275,111,030",24,Music,2020
385,Coco der Neugierige Affe,"1,270,000","600,138,428","1,389",Film & Animation,2018
386,Su Vlogs,"1,270,000","638,176",59,People & Blogs,2011
387,Schnell Lecker Kochen,"1,270,000","171,573,449",777,People & Blogs,2020
388,ELoTRiX,"1,260,000","93,481,751",97,Gaming,2012
389,Selfmade Records,"1,260,000","826,697,176",426,Entertainment,2006
390,maudado,"1,260,000","466,774,817","3,212",Gaming,2012
391,Thieniboy,"1,260,000","1,675,793,678","1,409",Entertainment,2022
392,Mamba-Gaming,"1,260,000","20,985,382",436,People & Blogs,2023
393,7 vs. Wild,"1,250,000","348,194,521",167,People & Blogs,2023
394,LarsOderSo,"1,250,000","663,563,676","3,116",Gaming,2013
395,TeamFilGer,"1,250,000","596,495,699","1,157",Entertainment,2020
396,Aditotoro Shorts,"1,250,000","905,351,119",613,Comedy,2021
397,BeardBear,"1,250,000","1,019,891,575","2,466",Gaming,2015
398,querly,"1,250,000","169,254,756",390,Autos & Vehicles,2007
399,Einfache Rezepte,"1,240,000","204,429,008",515,Howto & Style,2021
400,Simone Ludwig | Floh im Ohr TV | Kindermusik,"1,240,000","940,393,638",391,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2017
401,Noel Dederichs Shorts,"1,240,000","1,206,210,754",988,Comedy,2022
402,DAVE,"1,240,000","164,586,068",257,Entertainment,2013
403,Muhammed Kue - محمد كيو,"1,230,000","101,917,997",293,Comedy,2016
404,LUCREW,"1,230,000","452,489,009","1,057",People & Blogs,2019
405,Spiel mit mir,"1,230,000","755,867,826","4,010",Entertainment,2014
406,M7moud Royal,"1,230,000","55,685,561",71,Gaming,2016
407,STRG_F,"1,230,000","359,730,941",330,Film & Animation,2017
408,izzi,"1,220,000","272,458,283","1,386",Gaming,2013
409,Миссия Dawah,"1,220,000","221,206,291","1,032",Nonprofits & Activism,2016
410,TopWelt,"1,220,000","500,448,106","1,460",Entertainment,2015
411,Skech Art,"1,220,000","94,540,800",592,Howto & Style,2007
412,ChiChi Family,"1,220,000","255,060,120",284,Entertainment,2014
413,IsyCheesy,"1,220,000","1,290,043,376","2,689",Gaming,2017
414,Terra X History,"1,220,000","413,774,400",727,Science & Technology,2016
415,Renzo,"1,220,000","331,275,322",432,Entertainment,2021
416,EpicStun,"1,210,000","1,250,233,663","3,139",Gaming,2013
417,SCHLAUSCHLEIM SAM,"1,210,000","746,909,472","1,371",People & Blogs,2018
418,LOGO,"1,210,000","597,564,277","1,284",Gaming,2012
419,KinderKlubTV,"1,210,000","956,239,745",910,Education,2014
420,Schnell Lecker Schön,"1,210,000","178,801,932",802,People & Blogs,2021
421,Chill Thesoul Out German,"1,210,000","1,073,676,342",548,Howto & Style,2024
422,puuki,"1,210,000","391,595,428","2,551",Gaming,2015
423,Team Harrison,"1,200,000","359,329,155",473,Entertainment,2015
424,itsAssiTV,"1,190,000","220,372,058",351,People & Blogs,2014
425,Phil Laude,"1,190,000","377,731,231",488,Comedy,2015
426,Mustihaft,"1,180,000","186,303,092",312,People & Blogs,2016
427,A.B.K,"1,180,000","312,633,911",564,People & Blogs,2007
428,Macrame School,"1,180,000","150,208,965","1,105",Howto & Style,2012
429,DJ Noize,"1,180,000","333,044,947",376,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2011
430,InscopeLifestyle,"1,180,000","259,755,294",892,People & Blogs,2014
431,Mr Hanan,"1,170,000","60,338,924",130,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2014
432,Ischtar Isik,"1,170,000","251,867,236",859,Howto & Style,2010
433,Schnell Lecker,"1,160,000","373,712,916","1,558",People & Blogs,2020
434,Saebom2,"1,160,000","654,983,132",433,People & Blogs,2021
435,Taddl,"1,160,000",0,0,Gaming,2009
436,Danergy,"1,160,000","229,622,301","1,018",Comedy,2013
437,Moonlight Jewel,"1,160,000","163,015,135",185,Entertainment,2016
438,Cargospotter,"1,160,000","623,208,475","1,232",Science & Technology,2011
439,La La Lebensfreude,"1,150,000","835,049,735",859,Howto & Style,2020
440,Rick Azas,"1,150,000","1,396,716,655","3,217",Education,2012
441,Joyce,"1,150,000","242,584,415",508,Entertainment,2013
442,FeelFIFA,"1,150,000","445,949,596","2,962",Gaming,2011
443,Kaan,"1,140,000","847,440,058",761,Travel & Events,2021
444,Moji,"1,140,000","211,966,210",501,Entertainment,2017
445,Fritz Meinecke - Live,"1,140,000","375,560,528","1,510",Entertainment,2020
446,extra 3,"1,140,000","1,378,084,528","4,842",News & Politics,2014
447,Y-Kollektiv,"1,140,000","378,863,013",571,People & Blogs,2016
448,Papaplatte,"1,130,000","212,444,920",349,Gaming,2014
449,FIA World Rally Championship,"1,130,000","355,385,487","5,761",Sports,2006
450,One More German,"1,130,000","1,084,251,600","1,883",Howto & Style,2023
451,Terra X Lesch & Co,"1,130,000","261,348,347",503,Science & Technology,2015
452,Chhiwat Bant Hakima شهيوات بنت حكيمة,"1,130,000","133,885,642",967,Education,2016
453,DoktorWeigl,"1,130,000","197,233,089","1,425",Education,2016
454,unge,"1,120,000",0,0,Entertainment,2014
455,STRENGTH WARS,"1,120,000","205,477,205",148,Sports,2012
456,"Pinkfong, Baby Hai! Kinderlieder","1,120,000","453,182,830","1,025",People & Blogs,2019
457,GamerBrother,"1,120,000","625,077,477","3,839",Gaming,2012
458,The Ronaldofamily,"1,110,000","224,799,174",608,Sports,2023
459,Fitgreenmind,"1,110,000","424,114,580",594,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2018
460,Estas Tonne,"1,110,000","128,822,500",463,Music,2006
461,KuchenTV,"1,110,000","450,432,114","1,192",Entertainment,2011
462,communiTV,"1,110,000","406,517,159","1,791",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2018
463,وسام الربيعي - Wissam Al-Rubaie,"1,110,000","6,346,398",53,People & Blogs,2018
464,Заповедник,"1,100,000","321,059,196","2,430",Entertainment,2017
465,Fatih's Welt,"1,100,000","203,511,034",115,Entertainment,2015
466,Schnurriman,"1,100,000","262,712,892",395,Film & Animation,2009
467,AlexV,"1,100,000","256,426,195","1,283",Entertainment,2013
468,Tamil TV,"1,100,000","213,680,016","6,505",Film & Animation,2014
469,Jo Jonas - Brawl Stars,"1,100,000","603,323,116","2,034",Gaming,2020
470,مطبخنا الشامي,"1,100,000","120,148,608",673,People & Blogs,2017
471,Yummy Food World,"1,090,000","161,966,537",280,Entertainment,2016
472,TANZVERBOT,"1,090,000","283,195,063",807,Gaming,2014
473,Battle.Royaleclips,"1,090,000","115,419,303",277,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
474,MRS. BELLA,"1,090,000","161,579,456",325,Entertainment,2014
475,Kojo,"1,080,000","235,609,032",176,Entertainment,2013
476,ohBrox,"1,080,000","321,158,390","2,265",Gaming,2016
477,ZwebackHD,"1,080,000","403,995,333","3,949",Gaming,2013
478,Canselguel,"1,070,000","883,281,364","4,444",People & Blogs,2019
479,Nikolai Savic,"1,070,000","591,062,481",94,People & Blogs,2014
480,World War Two,"1,070,000","264,618,834","1,107",Education,2018
481,der MMA,"1,070,000","696,150,804",555,Sports,2010
482,Linh Vyy Official,"1,070,000","289,163,207",371,Entertainment,2019
483,Learn German with Anja,"1,060,000","81,234,373",511,Education,2014
484,Rammor,"1,060,000","347,978,101",197,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2014
485,Я люблю тебя жизнь - lch liebe dich Mein Leben!,"1,060,000","139,840,229","2,359",People & Blogs,2016
486,FurryFritz - Catographer,"1,060,000","691,110,506",234,Pets & Animals,2019
487,Emiirbayrak,"1,050,000","1,411,714,283","1,389",People & Blogs,2020
488,Crackle,"1,050,000","21,640,111",235,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2022
489,REDEMPTION,"1,050,000","975,841,086","4,772",Film & Animation,2022
490,DieWalsers,"1,050,000","893,354,484","1,731",Entertainment,2021
491,WUMMS,"1,050,000","950,981,523",563,People & Blogs,2016
492,SYou,"1,050,000","305,957,039","1,972",Gaming,2017
493,Wakez,"1,050,000","356,660,227","2,448",Gaming,2015
494,docm77,"1,040,000","223,358,223","4,023",Gaming,2006
495,WDR Doku,"1,040,000","546,574,431",584,Entertainment,2017
496,MiiMii,"1,040,000","135,855,848",156,People & Blogs,2013
497,LumeXx,"1,040,000","445,411,028","1,125",Entertainment,2020
498,Krass Schule - Die jungen Lehrer,"1,040,000","428,027,910",948,Entertainment,2018
499,AJay Deluxe,"1,040,000","136,247,077",238,Entertainment,2017
500,dynmk,"1,040,000","611,616,751","2,900",Music,2010
501,Fishdom world,"1,030,000","702,331,426",335,Howto & Style,2022
502,Toca Sokaa,"1,030,000","458,963,652",404,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2023
503,relaxdaily,"1,030,000","352,331,184",404,Music,2011
504,Leckere Gerichte,"1,030,000","244,643,667","1,044",Education,2021
505,Sashka,"1,030,000","137,271,285",297,Entertainment,2015
506,DAZN Fußball,"1,020,000","108,075,926",668,Sports,2017
507,GalaxyMusic,"1,020,000","656,590,354","2,064",Entertainment,2012
508,HaoFX,"1,020,000","743,871,443",766,Music,2014
509,MaroWeltShow - أخبار ألمانيا مارو,"1,020,000","296,438,491","3,556",Nonprofits & Activism,2011
510,MercBenzKing,"1,020,000","347,774,761",740,Autos & Vehicles,2015
511,16BARS,"1,010,000","650,444,684","2,652",Entertainment,2008
512,امجد و فرح Amjad & Farah Family,"1,010,000","50,155,592",169,Entertainment,2018
513,TuToTV,"1,010,000","200,401,309",892,Science & Technology,2012
514,Krass Klassenfahrt,"1,010,000","294,193,157",420,People & Blogs,2019
515,Hashem Al-Ghaili,"1,000,000","254,873,417",550,Science & Technology,2008
516,Held der Steine Inh. Thomas Panke,"1,000,000","548,551,802","1,792",Entertainment,2014
517,Justine Leconte officiel,"1,000,000","113,897,768",331,Howto & Style,2015
518,TheOftlerer,"1,000,000","227,630,053","1,409",People & Blogs,2011
519,KiKA von ARD und ZDF,"1,000,000","90,494,637","1,408",Entertainment,2014
520,Kay One,"1,000,000","506,957,592",141,Entertainment,2011
521,Marvin,"1,000,000","96,272,480",112,Entertainment,2011
522,Davis Schulz,"1,000,000","309,097,992",463,Comedy,2010
523,CanBroke,"997,000","160,212,105",387,Entertainment,2012
524,Gong Bao,"994,000","232,305,140",196,People & Blogs,2012
525,Marvyn Macnificent,"992,000","207,224,252",488,Howto & Style,2014
526,HBz,"991,000","936,125,831",897,Music,2011
527,Elda Wichmann,"989,000","140,561,721",879,People & Blogs,2010
528,Maruska 58 💅  High Up,"989,000","1,190,736,846","2,445",Entertainment,2020
529,Late Night Berlin,"986,000","564,001,063","1,125",Entertainment,2018
530,Sophia Thiel,"986,000","191,439,934",657,Sports,2014
531,Krench Royale,"985,000","282,773,442",888,Gaming,2018
532,FabianMagic,"985,000","545,293,683",769,Comedy,2018
533,Ah Nice,"982,000","205,163,972",380,Entertainment,2015
534,DJ BoBo,"982,000","1,020,602,328",817,Music,2007
535,RTL,"979,000","1,057,464,069","73,899",News & Politics,2008
536,Shenpai,"977,000","151,935,620",400,Howto & Style,2012
537,Mert Matan,"975,000","167,645,339",604,Entertainment,2010
538,WesamCo,"975,000","657,931,553","1,345",Gaming,2019
539,WDR,"974,000","479,548,053","1,700",Entertainment,2013
540,123 GO! HOUSE German,"971,000","725,471,757","1,647",Howto & Style,2023
541,Cheng,"971,000","158,475,927",541,Entertainment,2009
542,Jules,"967,000","66,146,732",28,Entertainment,2020
543,Einfach und lecker,"963,000","194,124,478",985,People & Blogs,2020
544,AgrarBlick,"958,000","621,605,706",594,Autos & Vehicles,2009
545,HATICE MAZI,"957,000","293,355,654",692,Howto & Style,2015
546,The Wineholics,"956,000","91,415,683",264,People & Blogs,2015
547,DAZN UEFA Champions League,"950,000","710,462,657","1,786",Sports,2018
548,Shpetim,"948,000","916,784,162","1,332",Entertainment,2016
549,Tisi Schubech,"948,000","524,381,966","3,432",Entertainment,2013
550,Peakzmotivation,"947,000","512,348,500",332,People & Blogs,2023
551,Robert Marc Lehmann - Mission Erde,"947,000","197,967,172",716,Travel & Events,2021
552,Tom Shuffle,"946,000","307,410,195",806,Gaming,2011
553,Embassy One,"946,000","1,574,826,960",633,Entertainment,2008
554,Radical Living,"941,000","756,701,005",499,Comedy,2013
555,MIRACULOUS - Geschichten von Ladybug und Cat Noir,"940,000","782,614,665",957,Film & Animation,2018
556,TopSpeedGermany,"938,000","247,614,392",170,Autos & Vehicles,2019
557,Thomas Krüger – Mr. Pianoman,"936,000","225,262,823",670,Music,2009
558,Centex,"936,000","977,914,725","3,373",Gaming,2015
559,Lava&Sherin TV لافا و شيرين,"935,000","353,144",103,People & Blogs,2014
560,"Hilf Mir! Jung, pleite, verzweifelt","935,000","893,202,331","1,109",Entertainment,2018
561,Mavie Noelle,"933,000","505,952,405","1,395",Howto & Style,2015
562,Hungriger Hugo,"933,000","125,042,867",130,Entertainment,2019
563,Mathe by Daniel Jung,"933,000","419,301,225","3,687",Education,2011
564,Lorenz Wiedenmann,"930,000","129,839,330",659,Howto & Style,2016
565,Need To Know,"928,000","102,512,715",130,Entertainment,2015
566,Adventure Buddy,"925,000","172,998,437",500,Entertainment,2017
567,Lecker mit Sophie Mayer,"925,000","167,138,729",954,People & Blogs,2020
568,100SekundenPhysik,"922,000","97,766,758",101,Education,2012
569,Electric Callboy,"922,000","453,922,398",218,Music,2010
570,Papy & Pepy,"919,000","467,380",8,Entertainment,2015
571,TipTapTube,"919,000","607,443,781","2,069",Gaming,2012
572,MILEYS WELT,"916,000","901,586,552","1,924",Entertainment,2011
573,SkennyBeatz Official,"915,000","314,234,255",114,Entertainment,2016
574,BeautxVlogs,"913,000","138,703,783",276,People & Blogs,2016
575,SPORT1,"910,000","1,482,242,398","23,568",Sports,2006
576,fitness__kaykay,"908,000","371,785,472",868,Sports,2014
577,Spielzeug Wunderland,"906,000","1,132,491,446","1,234",Film & Animation,2016
578,OCB Relax Music,"906,000","458,779,436",482,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2009
579,Talha,"904,000","195,561,656",206,Entertainment,2017
580,BEATBOX BATTLE®,"903,000","311,287,906","1,743",Entertainment,2007
581,Arian,"902,000","209,339,915",307,Gaming,2018
582,Gấu trúc Định,"896,000","269,445",10,Science & Technology,2009
583,Bibi & Tina TV,"894,000","826,922,559",759,Music,2012
584,Jessicarmaniac,"892,000","1,146,404,736",728,Autos & Vehicles,2020
585,Mr.Puzzle,"891,000","219,506,629",522,Gaming,2016
586,SidneyEweka,"890,000","143,813,425",520,Gaming,2013
587,Namski,"889,000","76,909,256",28,People & Blogs,2015
588,Deutschland sucht den Superstar,"888,000","1,043,554,906","2,141",Entertainment,2012
589,IdialloFulani 🇬🇳,"887,000","453,426,405",112,Music,2016
590,pChal,"884,000","182,825,979",548,Gaming,2016
591,Iratsch,"882,000","195,378,198",471,Entertainment,2013
592,MOB,"880,000","94,214,539",68,Gaming,2014
593,Martin Miller,"878,000","179,818,874",241,Music,2006
594,Mark Forster,"877,000","765,660,930",166,Entertainment,2011
595,JamooTv Shorts,"877,000","926,408,982","1,173",People & Blogs,2021
596,earMUSIC,"874,000","723,199,534","1,896",Music,2009
597,Brox,"872,000","378,803,075","1,732",Gaming,2020
598,NintenU,"871,000","785,521,031","4,395",Gaming,2012
599,Malternativ,"869,000","364,522,169","1,279",Education,2016
600,Lsegaming_YT,"869,000","404,997,361",169,Gaming,2015
601,JERYKO,"868,000","290,873,163",497,Entertainment,2016
602,CR MAN 7,"868,000","221,556,850",651,Sports,2019
603,أسطُر,"866,000","214,491,264","1,902",Education,2019
604,Volbeat,"865,000","933,514,301",78,Entertainment,2013
605,ثائر TG,"864,000","12,000,312",176,Entertainment,2017
606,Lukas 712,"864,000","561,336,583",597,Entertainment,2021
607,Hey Stan,"863,000","335,555,909","4,645",Gaming,2015
608,Be a Bee - ( Dagi Bee VLOG Kanal ),"862,000","3,839,503",18,Comedy,2014
609,Germany's Next Topmodel,"861,000","1,885,951,417","3,880",Entertainment,2013
610,Nekky Natural Remedies,"860,000","45,723,032",761,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2018
611,Lightning Cosplay,"859,000","226,184,266",235,Howto & Style,2012
612,"Netflix Deutschland, Österreich und Schweiz","859,000","247,913,646","3,485",Entertainment,2014
613,Leeroy Matata,"857,000","77,440,324",117,People & Blogs,2013
614,xLL by Lisa & Lena,"855,000","59,374,806",53,People & Blogs,2016
615,DW বাংলা,"854,000","103,957,073","1,818",People & Blogs,2013
616,KinderLernTV,"853,000","1,048,535,660","1,425",Film & Animation,2014
617,PelMen,"853,000","116,077,286",70,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2022
618,Mehr Anzeigen,"851,000","364,761,534","1,284",Entertainment,2019
619,Reved,"851,000","232,903,885","1,110",Gaming,2014
620,KThePlonker,"851,000","701,245,364",757,Entertainment,2011
621,Das Supertalent,"851,000","663,710,413","1,066",Entertainment,2008
622,Fun Face Paint,"850,000","187,883,100",21,Education,2016
623,Supercoolben,"850,000","482,176,299",914,Film & Animation,2014
624,Ruhrpottwache,"848,000","794,590,918","3,857",Entertainment,2017
625,The Good Life Radio x Sensual Musique,"846,000","249,566,058",17,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2017
626,OfficialArdianBujupi,"845,000","635,877,796",331,Entertainment,2011
627,Marti Fischer,"845,000","140,047,153",450,Entertainment,2007
628,Mein Herz schlägt Schlager,"845,000","1,347,750,772","1,576",Entertainment,2006
629,LinaRode,"844,000","396,999,731",144,Entertainment,2016
630,Slavik Junge,"843,000","132,407,140",221,People & Blogs,2019
631,Köln 50667,"839,000","753,778,584","2,040",Entertainment,2013
632,Tim Gabel,"839,000","385,502,315","1,454",Entertainment,2013
633,DW Türkçe,"837,000","323,304,179","8,785",Science & Technology,2011
634,Winds of Love,"836,000","672,863,151","2,514",People & Blogs,2023
635,TheBestCubeHD,"836,000","185,835,385",195,Film & Animation,2012
636,CraftedGaming Shorts,"835,000","247,614,709",181,Gaming,2023
637,MGP,"835,000","189,014,061",583,Entertainment,2011
638,Faktastisch,"834,000","210,458,780",538,Entertainment,2013
639,ARD,"833,000","226,341,810","2,715",News & Politics,2005
640,Simon Will,"833,000","169,888,623",908,People & Blogs,2010
641,SPORT BILD,"829,000","307,381,389","9,860",Sports,2014
642,SpongeBOZZ,"827,000","218,590,504",72,Entertainment,2013
643,Gabi Fastner,"826,000","290,632,956","4,553",Sports,2006
644,Lusor Koeffizient,"825,000","664,065,366","9,643",Gaming,2013
645,Laura Kampf,"825,000","103,636,195",472,Howto & Style,2015
646,Kathi,"823,000","199,603,999","1,057",Howto & Style,2010
647,Alycia Marie,"822,000","177,786,676",708,Howto & Style,2008
648,Mê Mụi,"822,000","748,673,200","1,317",People & Blogs,2012
649,DJEkkiMusic,"822,000","253,277,349",353,Entertainment,2012
650,Mathe - simpleclub,"822,000","155,400,503",433,Education,2011
651,Mrmobilefanboy,"821,000","552,247,901","10,561",Gaming,2012
652,Bundeswehr,"819,000","499,534,846","3,768",News & Politics,2006
