rank,Youtuber,subscribers,video views,video count,category,started
653,Quarks,"819,000","187,370,718","1,048",Science & Technology,2018
654,Spass für Kinder,"816,000","850,885,651",902,Education,2014
655,Lena,"815,000","198,451,296",358,Entertainment,2015
656,Coupleontour,"815,000","456,658,037","1,715",People & Blogs,2018
657,Mr Baby Kinderreim für Kinder auf Deutsch,"813,000","301,148,882",605,People & Blogs,2016
658,Auto Addiction,"813,000","380,920,313","1,006",Autos & Vehicles,2015
659,Michael Smolik,"813,000","174,612,523",475,Sports,2015
660,Miniatur Wunderland,"812,000","327,861,700",714,People & Blogs,2009
661,PARTY ROCKZZ,"810,000","294,966,247",487,Entertainment,2012
662,Sniperbs_,"810,000","437,477,538",186,Gaming,2015
663,Shock Frost,"809,000","286,739,616",699,Gaming,2011
664,Vitamine,"807,000","351,288,580","2,740",Gaming,2018
665,Team Darkside,"807,000","348,364,024",804,Gaming,2013
666,Sportschau,"806,000","161,203,830","1,657",Sports,2015
667,Braxic,"804,000","146,214,411",887,Gaming,2018
668,مارد العرب,"803,000",0,0,Education,2017
669,Abgegrieft,"802,000","493,662,589","1,865",Entertainment,2013
670,TryReact,"801,000","441,638,899","1,691",Gaming,2018
671,DominoKati,"801,000","168,791,368",811,Howto & Style,2011
672,German Football,"798,000","173,108,920","1,169",Sports,2019
673,HYPERBOLE,"798,000","167,132,674",357,News & Politics,2013
674,Kayla Shyx,"796,000","93,437,573",158,People & Blogs,2016
675,OST BOYS,"796,000","115,975,946",224,People & Blogs,2016
676,Marky,"794,000","167,995,259",419,Gaming,2017
677,Köstliche Hausrezepte,"794,000","113,584,909",314,People & Blogs,2023
678,2Bough,"793,000","342,827,075","2,486",Entertainment,2006
679,Einfaches Rezept,"791,000","149,462,530",662,People & Blogs,2020
680,Kleinanzeigen WG,"789,000","439,929,426",786,Entertainment,2010
681,Sev,"789,000","430,629,459","2,555",Gaming,2014
682,vax football,"788,000","16,954,772",35,People & Blogs,2024
683,Flakezc,"787,000","340,966,794","1,561",Gaming,2017
684,HiTyrone25,"787,000","327,558,254","2,518",Gaming,2020
685,WooHoo DE,"786,000","610,981,454","1,510",Howto & Style,2019
686,Senioren Zocken,"785,000","100,146,665",585,Gaming,2015
687,ОЛЕГ ВИННИК,"785,000","521,605,837",108,Music,2011
688,Mike Singer,"784,000","204,813,650",151,Entertainment,2012
689,Maren Wolf,"784,000","29,232,721",128,Howto & Style,2009
690,annablutube,"782,000","158,971,574",52,Music,2010
691,Vinny Piano,"780,000","267,259,254",207,Entertainment,2013
692,Alligatoah,"779,000","540,327,985",337,Entertainment,2006
693,Taymetic,"777,000","141,444,030",577,Entertainment,2017
694,Jenice,"776,000","461,528,466","3,338",Music,2018
695,NIZE,"776,000","42,081,677",152,Entertainment,2015
696,Kinder Cartoons,"776,000","824,781,489","1,248",People & Blogs,2015
697,AndyGM en Berlín,"772,000","52,255,671",689,People & Blogs,2014
698,Itsofficialmarco,"771,000","1,051,316,538",812,People & Blogs,2015
699,Лучшие Зарубежные Боевики,"769,000","171,261,836",545,People & Blogs,2020
700,Debitor,"766,000","370,925,773","8,857",Gaming,2010
701,Поле брани,"766,000","571,897,374","1,409",Travel & Events,2012
702,FaxxenTV,"764,000","75,251,058",207,Entertainment,2014
703,Scooter,"764,000","539,375,350",296,Music,2005
704,العرمرم العويقل,"763,000","534,758,209",148,Entertainment,2017
705,ZDFbesseresser,"760,000","310,701,045",605,Education,2013
706,Mamiversum,"759,000","1,249,888,111",491,Entertainment,2016
707,diejungs,"757,000","159,652,122",718,People & Blogs,2006
708,F.CHARM,"757,000","456,773,610",134,Music,2012
709,4viator,"756,000","542,723,303",382,Autos & Vehicles,2019
710,vkgoeswild,"756,000","233,346,045","1,107",Music,2007
711,Jumanji TM,"756,000","164,713,008",365,Entertainment,2016
712,TechAltar,"754,000","88,965,484",229,Science & Technology,2013
713,yvonnedilauro,"754,000","1,285,133,200","1,034",People & Blogs,2016
714,KüsengsTV,"752,000","322,573,957","1,747",People & Blogs,2016
715,TooBad,"752,000","777,137,430",787,Gaming,2022
716,Dner,"751,000","128,463,813","1,220",Gaming,2016
717,Athletic Interest,"750,000","101,888,630",126,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2019
718,Mathias Mester,"750,000","502,152,372",336,Sports,2017
719,Blackout,"750,000","351,479,038","2,685",People & Blogs,2016
720,FeelGamingTV,"747,000","256,872,031","2,868",Gaming,2012
721,Andre Krieger (CommanderKrieger),"745,000","189,825,735","4,993",Nonprofits & Activism,2010
722,Evanijo,"744,000","170,904,821",634,Entertainment,2014
723,Bastian,"744,000","151,150,664",652,Gaming,2016
724,Mexify +,"743,000","148,094,582",411,Gaming,2020
725,OttoBulletproof,"742,000","85,333,908",378,People & Blogs,2020
726,EHRENPFLAUME,"740,000","84,295,729",140,Entertainment,2020
727,My Petsie,"739,000","370,253,777","1,233",Pets & Animals,2017
728,Nedzeer,"738,000","42,374,948",363,Gaming,2023
729,KevKevKiwi,"736,000","365,968,812","1,541",Entertainment,2022
730,Dark Monkey Music,"736,000","110,369,057",515,Music,2011
731,Martin Wehrle: Coaching- und Karrieretipps,"736,000","190,832,606","1,288",People & Blogs,2016
732,Ahmed Moharam - احمد محرم,"735,000","363,537,735","1,123",Comedy,2017
733,FC Filmstudio,"734,000","197,301,293",738,People & Blogs,2021
734,Souryaz TV,"727,000","35,243,730",165,Film & Animation,2018
735,Hypnotize Entertainment,"725,000","585,513,079",114,Music,2013
736,Beauty Benzz Shorts Official,"724,000","958,760,456","2,070",People & Blogs,2021
737,Голос Германии,"723,000","125,781,848",816,Nonprofits & Activism,2012
738,TypischCalvin,"723,000","581,871,575",865,Comedy,2015
739,FlorianOnAir,"723,000","282,096,507","1,815",Entertainment,2011
740,Kikis Kitchen,"721,000","173,737,362","1,011",Howto & Style,2012
741,DANCE ENERGY dance studio,"721,000","197,139,287",149,Entertainment,2009
742,Niklas Kolorz,"720,000","425,853,706",711,Education,2015
743,Cartoon Network Deutschland,"720,000","570,526,124","2,793",Entertainment,2010
744,Mr. T,"719,000","4,606",53,People & Blogs,2016
745,Kick11,"719,000","74,142,410",787,Sports,2014
746,Gebrüder Lange,"719,000","178,932,275",380,People & Blogs,2017
747,Sneili Sneils,"718,000","349,584,229","1,639",Gaming,2015
748,Miguel Pablo,"713,000","39,425,144",72,Entertainment,2010
749,SWR Handwerkskunst,"712,000","261,086,494",404,Howto & Style,2020
750,AYLIVA,"712,000","531,760,631",31,Music,2021
751,Lindemann - Offiziell,"711,000","183,733,257",27,Entertainment,2014
752,Chrissi,"710,000","319,379,441",865,Entertainment,2018
753,Khaled Bozan,"709,000","197,863,804","2,588",Education,2014
754,JONAS SHORTS,"709,000","964,005,158","1,237",People & Blogs,2021
755,NebelNiek,"708,000","159,903,832",565,Gaming,2013
756,ungefilmt,"707,000","127,039,058",230,People & Blogs,2013
757,Fero47,"707,000","198,279,598",34,Music,2018
758,BruderSpielwaren,"707,000","520,955,404",156,Autos & Vehicles,2012
759,datteltäter,"707,000","225,083,949",730,People & Blogs,2015
760,Gesundheitsblatt,"707,000","237,040,756","2,301",Howto & Style,2017
761,Aliain,"706,000","398,722,720",116,People & Blogs,2024
762,Ton Verändert,"706,000","195,226,888","1,509",Entertainment,2016
763,Con_wa,"706,000","44,334,738",243,Gaming,2020
764,Alicia Joe,"705,000","76,263,132",213,Howto & Style,2011
765,ItzJul Shorts,"705,000","996,250,894","1,446",People & Blogs,2021
766,Two Jews,"703,000","198,400,620",147,People & Blogs,2020
767,FactasticFeed,"701,000","581,371,598",214,Entertainment,2023
768,Sweky Bros,"701,000","13,826,486",27,People & Blogs,2011
769,TPM - Top Persian Music,"700,000","343,111,900","9,016",Music,2016
770,My Name Is Andong,"700,000","73,022,927",254,Howto & Style,2009
771,Alexander Straub,"699,000","153,465,330",678,Entertainment,2011
772,KIS KIS - keep it short,"698,000","199,663,499","1,130",Entertainment,2018
773,Cevheri Güven,"698,000","259,621,685",579,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2015
774,Sonny Loops,"698,000","161,341,956","1,160",Entertainment,2014
775,IDLEGLANCE,"696,000","615,628,659","2,558",Music,2016
776,MckyTV,"695,000","199,515,478","1,307",Gaming,2016
777,Lamiya Slimani,"695,000","43,878,359",278,People & Blogs,2009
778,RTL,"694,000","1,061,765,118","8,790",Entertainment,2013
779,AltanaBananaTV,"694,000","9,401,160",11,Entertainment,2010
780,CHECKER WELT,"693,000","554,269,794",373,Education,2017
781,Chimperator Channel,"691,000","719,863,980","1,024",Entertainment,2007
782,Claudetta Crochet,"690,000","99,258,711",501,People & Blogs,2016
783,Monsterwolf Music,"688,000","122,376,439",615,Music,2013
784,Hatice Schmidt,"686,000","209,479,313",891,Howto & Style,2011
785,Anni The Duck,"680,000","139,964,834",311,Entertainment,2017
786,Eligella,"680,000","189,943,841","1,412",Gaming,2017
787,Dennome,"680,000","279,790,507","2,831",Gaming,2013
788,DW Indonesia,"679,000","132,631,292","2,878",Science & Technology,2012
789,AK AUSSERKONTROLLE,"678,000","381,323,527",35,People & Blogs,2017
790,Shayan Garcia,"678,000","73,506,235",164,Comedy,2017
791,Just Elias,"677,000","416,106,396","1,975",People & Blogs,2022
792,Spiel mit mir - Apps und Games,"677,000","539,327,913","4,848",Gaming,2016
793,Theresa Kirchner,"676,000","523,848,709","1,202",Entertainment,2016
794,LEA,"676,000","610,295,526",382,Entertainment,2007
795,Dreemtum,"675,000","565,981,448","2,310",Gaming,2012
796,Get.factual,"675,000","147,766,146",899,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2021
797,LordJesus,"675,000","56,147,629",18,People & Blogs,2019
798,Parkett Boos,"673,000","753,179,354","15,703",People & Blogs,2015
799,Sahra Wagenknecht,"672,000","97,204,537",339,News & Politics,2019
800,Rundumleuchte1,"672,000","147,784",21,Autos & Vehicles,2009
801,FunVideoTV,"672,000","1,124,145,739",145,Film & Animation,2010
802,Rap Check,"670,000","416,190,291","5,394",Entertainment,2014
803,jannikfreestyle,"670,000","884,000,208","4,087",Sports,2017
804,Prophet Today Channel,"670,000","25,314,079",622,Education,2016
805,Die Frage,"669,000","148,693,431",423,People & Blogs,2016
806,👑 Spiel Mit Mir Malvina💎 Maruska 58,"668,000","777,051,069","2,471",Entertainment,2019
807,TOGGO,"668,000","336,561,600","1,672",Entertainment,2010
808,JDK TV,"668,000","657,953,812","1,328",Comedy,2015
809,HKCM,"667,000","166,765,915","2,407",Education,2015
810,ARD Marktcheck,"666,000","268,838,737","1,596",Howto & Style,2010
811,SecondTry,"666,000","283,726,176","1,605",Gaming,2020
812,Folien Prinz,"666,000","372,857,153",742,Autos & Vehicles,2017
813,Bares für Rares,"666,000","667,361,096","1,773",News & Politics,2006
814,DoktorFroid,"664,000","200,032,951","1,378",Gaming,2012
815,JamooTv,"664,000","91,115,573",220,Music,2016
816,WATCH NOW - SCI-FI & FANTASY,"664,000","161,576,601",583,Film & Animation,2015
817,Daniel Abt,"663,000","231,177,470",973,Autos & Vehicles,2010
818,Breaking Lab,"663,000","139,430,897",853,Science & Technology,2016
819,videopoly,"663,000","275,742,489",120,Film & Animation,2023
820,Brian Michael Hinds,"663,000","397,810,567",401,Music,2019
821,LarsLP,"660,000","338,422,193","2,266",Gaming,2012
822,BodyKiss,"659,000","157,352,130","1,074",Sports,2013
823,Alice Merton,"658,000","485,513,258",79,Music,2014
824,Goal Deutschland,"657,000","119,375,376","3,608",Sports,2017
825,Thomas Müller,"656,000","124,959,191",619,Sports,2016
826,Niklas Wilson,"656,000","69,884,064",614,Entertainment,2020
827,Fiago,"656,000","694,104,486",852,Sports,2019
828,factoids,"655,000","439,233,506",334,Travel & Events,2006
829,Isabeau,"655,000","386,583,337","1,203",Howto & Style,2013
830,thisisvoyce,"655,000","207,130,435",436,People & Blogs,2009
831,mirellativegal,"654,000","196,716,185",870,Howto & Style,2012
832,H_catikkas 1984,"653,000","381,965,469",149,Comedy,2013
833,Julius,"652,000","222,331,199","1,895",Gaming,2016
834,ItsMarvin (itsmarvin),"649,000","229,981,653",832,People & Blogs,2009
835,Stephan Gerick,"649,000","122,092,216",489,Entertainment,2011
836,Raja Meissner,"649,000","125,802,334",181,Music,2015
837,HamedLoco,"648,000","214,282,517",869,Gaming,2015
838,Tamil Voice,"648,000","113,477,300","4,080",Film & Animation,2015
839,Thomas阿福,"645,000","136,106,747",449,Entertainment,2016
840,Mensch Markus,"645,000","625,002,416",782,Entertainment,2013
841,Raportagen,"644,000","84,002,390",65,Education,2017
842,Robert Hofmann,"644,000","467,114,831","8,036",Entertainment,2011
843,Simex,"643,000","368,103,884","1,891",Entertainment,2015
844,G2 Esports,"643,000","135,873,771","1,446",Gaming,2014
845,Amar,"641,000","199,974,411","1,677",Gaming,2014
846,stern TV,"641,000","528,953,393","1,215",News & Politics,2015
847,JOON German,"640,000","415,420,520","2,050",Howto & Style,2023
848,ADCArtAttack,"640,000","87,826,364",382,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2012
849,ARD Kinder und Familie,"640,000","504,077,736","1,806",Entertainment,2012
850,Biologie - simpleclub,"638,000","129,485,505",298,Education,2014
851,SAIFOND,"637,000","140,732,127",121,Music,2019
852,Amazon Prime Video Deutschland,"636,000","401,021,687","2,388",Entertainment,2013
853,Kuhlewu,"635,000","112,937,633",537,Entertainment,2018
854,justin,"635,000","117,934,243",461,People & Blogs,2015
855,Meydan TV,"635,000","300,295,672","9,473",News & Politics,2013
856,Verspieltes Gnu,"634,000","188,151,880","1,187",Gaming,2019
857,Aktien mit Kopf,"634,000","439,650,365","3,781",Education,2013
858,Adam And Elea,"632,000","346,575,332",555,Comedy,2023
859,د. خلود عادل - Dr. Kholod Adel,"631,000","132,479",24,Entertainment,2016
860,CNC Kitchen,"631,000","96,472,098",219,Science & Technology,2016
861,PC-WELT,"631,000","169,126,714","2,890",Science & Technology,2006
862,PumaTheWeirdo,"630,000","382,203,850",171,Pets & Animals,2022
863,aminhooooo,"630,000","316,218,862",488,Gaming,2021
864,Wisdom for Dominion,"630,000","65,014,110","1,023",People & Blogs,2016
865,M539 Restorations,"629,000","111,031,729",161,Autos & Vehicles,2014
866,Aimbrot,"629,000","171,795,452","1,902",Gaming,2013
867,Gute Rezepte,"629,000","138,538,435",440,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
868,Fabio Schäfer,"629,000","90,215,543",715,Sports,2010
869,MathemaTrick,"629,000","149,201,150","1,331",Education,2014
870,SmoothMadnezz,"628,000","26,235,185",75,Gaming,2017
871,AUTO BILD,"628,000","598,389,359","7,714",Autos & Vehicles,2006
872,RC TRUCK ACTION,"627,000","240,425,906","1,383",Autos & Vehicles,2009
873,Spielzeugtester,"625,000","849,792,796","1,464",Entertainment,2014
874,Der Dunkle Parabelritter,"625,000","123,862,157",975,Entertainment,2012
875,ein Holzkopf,"625,000","75,171,646",52,Entertainment,2013
876,Rotpilz,"624,000","97,903,799","1,194",Gaming,2013
877,Meditation & Relaxation - Music channel,"624,000","57,666,154",206,Music,2015
878,MR ViTuBiG,"623,000","21,298,876",517,Gaming,2023
879,Tages Spiegel,"622,000","348,858,878","8,098",Entertainment,2017
880,Rocket Beans TV,"621,000","587,048,822","10,139",Gaming,2012
881,ЮЛИЯ ЛАНСКЕ | Love-коуч | ЭКСПЕРТ ПО ОТНОШЕНИЯМ,"620,000","85,286,827","1,302",Education,2012
882,Caroline ASMR,"620,000","158,515,992",359,Entertainment,2014
883,Papaplatte Gaming,"620,000","188,207,176",350,Gaming,2020
884,Maxim,"619,000","536,256,225","3,730",Gaming,2012
885,Ngoko Tbl,"619,000","159,242,648",647,People & Blogs,2017
886,WackenTV,"619,000","218,482,032","2,428",Entertainment,2013
887,DJ Ice Rolls,"618,000","568,903,126",680,Entertainment,2021
888,У Надюхи на кухне,"618,000","76,702,260",425,People & Blogs,2015
889,SKITSFUL German,"618,000","499,477,326","1,716",Howto & Style,2023
890,King Crimax,"617,000","153,869,560",874,Gaming,2019
891,DieWolfs,"617,000","145,209,559","1,091",Travel & Events,2010
892,MarvinVlogt,"615,000","155,672,785","1,547",Gaming,2016
893,Patricia Herfort,"615,000","1,026,948,843","4,292",Film & Animation,2013
894,Dumm Tüch,"614,000","149,090,807",367,Entertainment,2014
895,دنيا محمد Dunia Mohammed,"614,000","149,335,525",773,Entertainment,2015
896,ZDF Satire,"612,000","516,001,427","1,474",Entertainment,2011
897,Kalle,"611,000","97,807,879",600,Gaming,2007
898,قناة بصمة - CANAL IMPRINT,"609,000","44,856,749",101,Entertainment,2017
899,Sirius,"609,000","117,395,329",203,Gaming,2014
900,RuiN Reserve,"608,000","57,709,474",212,Gaming,2014
901,Laschakv,"608,000","621,114,239",502,Comedy,2021
902,ZDFinfo Dokus & Reportagen,"607,000","186,157,373",421,News & Politics,2017
903,Noel Dederichs,"607,000","147,227,910",267,Entertainment,2019
904,Radio Hits Music,"607,000","42,469,255",15,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2018
905,MrTrashpack,"607,000","143,543,992",918,Entertainment,2009
906,Flying Passport,"607,000","119,492,222",385,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2020
907,Karim Rafea,"606,000","69,956,112",559,People & Blogs,2013
908,Disney Deutschland,"605,000","746,638,620","2,514",Film & Animation,2007
909,Domo,"604,000","236,933,218",675,Entertainment,2018
910,Streamfrei,"603,000","151,018,588",625,Entertainment,2020
911,Dacris World,"602,000","255,072,871",6,Music,2020
912,Azzlackz,"601,000","360,454,091",239,Entertainment,2014
913,FUN KIDS STUDIO,"600,000","540,452,969",299,People & Blogs,2024
914,Letshe,"599,000","80,973,680",847,Gaming,2018
915,Mefyou,"599,000","1,769,846",10,Entertainment,2015
916,Alex Freerun,"598,000","586,320,486","1,706",Entertainment,2018
917,Cars Town - Cartoons für Kinder,"596,000","176,400,007",12,People & Blogs,2017
918,NPLAY,"596,000","390,356,537","5,590",Gaming,2013
919,Mudi,"596,000","281,099,664",159,Music,2010
920,Play & Learn Kids Games,"596,000","264,507,121",42,Entertainment,2015
921,NHG Benji,"596,000","222,837,284","1,671",Gaming,2014
922,FifaGoalsUnited,"595,000","283,078,644","3,278",Gaming,2011
923,PJ Adventure - Paul Schridde,"595,000","116,280,325",465,Entertainment,2015
924,Diana zur Löwen,"594,000","126,601,679",920,Entertainment,2012
925,Mia and me,"593,000","360,730,633","1,376",Film & Animation,2012
926,SiccasGuitars,"593,000","197,341,107","2,410",Music,2012
927,Kim Petras,"591,000","275,606,410",254,People & Blogs,2007
928,CEL INA,"590,000","293,348,077","2,019",Entertainment,2016
929,Klengan,"590,000","219,174,566","1,835",Entertainment,2012
930,Hensslers Schnelle Nummer,"589,000","174,845,563","1,084",Howto & Style,2012
931,Matthias Berger,"589,000","234,276,381","1,610",Howto & Style,2010
932,Emily,"588,000","127,675,320",936,Gaming,2020
933,David Shorts,"588,000","684,125,449","1,965",Autos & Vehicles,2012
934,Schliingeel,"587,000","593,326,049",909,Entertainment,2020
935,Tim Kellner,"587,000","38,131,532",114,People & Blogs,2015
936,KADR TV,"584,000","369,418,984",15,Music,2018
937,Aviencloud,"584,000","379,661,900","1,232",Music,2013
938,Kliemannsland,"584,000","216,277,825",458,People & Blogs,2016
939,Talking Tom & Friends auf Deutsch,"583,000","160,958,522",360,Entertainment,2018
940,XCageGame,"582,000","433,065,276","9,822",Gaming,2014
941,iKnowReview,"581,000","216,932,078","1,095",Science & Technology,2013
942,Marc Friedrich,"581,000","187,115,384","1,921",Education,2016
943,bausashaus,"581,000","371,572,249",71,People & Blogs,2016
944,KAYEF,"581,000","168,657,464",441,Entertainment,2009
945,Der Keller,"580,000","144,343,880","1,178",Entertainment,2012
946,2 Bored Guys,"580,000","78,644,120",385,Entertainment,2016
947,Satter Hugo,"580,000","165,126,971",232,Entertainment,2020
948,MATTIN,"580,000","124,990,500",413,Entertainment,2020
949,NurLive,"580,000","78,784,378",198,People & Blogs,2019
950,Kinder Welt,"579,000","281,960,343",590,Entertainment,2016
951,DIY Inspiration,"579,000","328,355,911","5,009",Howto & Style,2014
952,Anne Wünsche,"578,000","145,593,770",785,Entertainment,2010
953,Air-Clips.com,"578,000","201,529,910","2,887",Travel & Events,2011
954,Anna Gazanis,"578,000","396,384,773","1,388",People & Blogs,2011
955,Techtastisch - Experimente und 3D Druck,"577,000","178,450,944",884,Science & Technology,2014
956,darkviktory,"577,000","126,732,128",549,Comedy,2009
957,Schlumpf,"577,000","180,918,927",381,Entertainment,2020
958,Alex Fremdwelt,"576,000","353,159,385",63,People & Blogs,2023
959,Hessischer Rundfunk,"576,000","478,170,498","8,439",Entertainment,2008
960,ICONxMADE,"576,000","374,907,001",874,Music,2018
961,Jonas Winkler,"575,000","267,401,080","1,080",Howto & Style,2018
962,EinfachGustaf,"575,000","230,928,156",657,Gaming,2016
963,Shiine Culay,"574,000","64,327,918",986,People & Blogs,2015
964,Lecker mit Annet,"574,000","119,957,301",808,Howto & Style,2020
965,HD Corleone ®,"573,000","21,826,355",75,Music,2010
966,leyiiiN,"573,000","385,840,002","2,937",Gaming,2009
967,follow me.reports,"573,000","150,286,118",325,People & Blogs,2017
968,Addi LIVE,"572,000","179,284,713","1,629",Gaming,2016
969,Thats.M.E,"572,000","100,985,169",564,Howto & Style,2014
970,DerSorbus,"572,000","367,244,123","13,535",Gaming,2010
971,Topic,"572,000","581,847,660",115,Music,2013
972,2WEI,"571,000","336,955,482",108,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2017
973,Crunkz,"571,000","2,814,897",32,Entertainment,2010
974,MrPyroManager,"571,000","240,820,478","1,909",Entertainment,2012
975,Mainstage,"570,128",0,0,Entertainment,2012
976,KidMave,"568,000","235,869,599","1,508",Entertainment,2015
977,HB Mark Zockt,"567,000","599,942,529","1,268",Gaming,2020
978,Die dreisten Drei,"567,000","425,498,458",878,Comedy,2014
979,Mina Rome,"566,000","59,163,661",341,People & Blogs,2014
980,EuroArtsChannel,"566,000","194,119,495","2,431",Education,2009
981,ابن زومبي ABN ZOMBIE,"566,000","75,593,550",254,Gaming,2016
982,RINGLIFE,"566,000","194,605,041","1,079",Sports,2018
983,CALLEkocht - Omas Rezepte,"564,000","170,742,995",895,Howto & Style,2014
984,Beste Köse,"564,000","518,283,349",574,Entertainment,2015
985,Deutsch verstehen,"564,000","230,450,862",600,Education,2018
986,Lets-Bastel,"564,000","160,755,932",659,Entertainment,2015
987,SWR Doku,"560,000","306,416,447",750,People & Blogs,2019
988,Freddy,"559,000","793,767,988",846,Film & Animation,2021
989,hOlyhexOr,"559,000","501,863,987","14,391",Film & Animation,2006
990,Noah Schneider,"558,000","167,898,472",617,Entertainment,2017
991,Last Minute Kitchen,"558,000","93,175,555",127,Howto & Style,2014
992,Achtung Kontrolle,"558,000","778,332,965","4,262",Entertainment,2018
993,WillShorts,"557,000","208,594,430","1,520",Entertainment,2011
994,EsKay,"557,000","7,076,051",34,Gaming,2013
995,Familie Klickmann,"557,000","362,554,440",154,Entertainment,2023
996,Goaltinho,"556,000","177,177,157",654,Sports,2022
997,byStegi,"556,000","57,192,052",325,Gaming,2012
998,Jasmin Gnu,"556,000","105,664,179",395,People & Blogs,2019
999,Beat-Club,"555,000","376,768,424","1,651",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2009
1000,Mark Kvas,"555,000","67,134,384",35,Gaming,2019
